henceforth,26
hereafter,46
herself,91
highness,1
holds,84
hollow,53
honest,391
horse,331
hostess,29
hours,139
house,640
hubert,0
humble,94
humour,124
hundred,116
husband,367
ignorant,48
image,73
includes,2
indeed,358
infinite,43
innocent,54
instant,84
intend,87
intent,127
issue,128
itself,236
jealous,95
jewel,87
judge,111
judgment,115
julia,1
justice,164
keeps,69
kindness,78
kingdom,124
kings,139
knave,237
kneel,78
knees,51
knife,56
knight,170
knock,99
knowing,38
knowledge,97
known,230
knows,205
labour,123
ladies,107
ladyship,44
lands,67
large,101
laugh,239
launce,0
lawful,76
learn,215
learned,55
least,101
leave,700
leisure,68
leontes,0
letter,377
liberty,71
library,3
liege,144
lieutenant,35
light,484
limbs,49
little,477
lives,196
living,122
longer,106
looks,204
loose,60
lords,457
lordship,128
lorenzo,0
lovely,53
lovers,55
loves,221
loving,121
lucentio,0
machine,3
madness,67
maiden,76
maids,46
maintain,52
majesty,69
makes,315
making,58
malice,70
manner,175
march,113
marcius,0
marcus,0
margaret,0
maria,0
mariana,0
marriage,120
marry,192
master,628
match,116
matter,381
meaning,59
means,261
meant,65
measure,99
meeting,53
membership,0
memory,58
merchant,41
mercy,176
merit,79
merry,165
messenger,76
midnight,41
might,628
mighty,114
milan,0
minds,55
minister,62
miranda,0
mirth,52
mischief,49
misery,37
mistake,47
mistress,270
modest,97
money,186
monster,89
month,97
morning,132
morrow,353
mortal,144
mother,441
motion,112
mouth,200
mowbray,0
murder,117
murther,67
music,197
myself,512
naked,54
names,50
native,45
natural,104
nature,358
needs,142
neighbour,83
neither,155
never,910
niece,62
night,1024
noble,712
noise,114
nothing,545
nought,54
number,100
nurse,82
oaths,86
obedience,56
oberon,0
object,54
occasion,89
offence,119
offend,144
offer,166
office,244
often,136
oliver,0
opinion,94
order,141
orlando,0
other,1037
others,280
ourselves,181
outward,57
oxford,0
padua,0
pains,92
painted,52
painter,10
palace,158
pandarus,0
paper,121
pardon,259
paris,32
parolles,0
parted,53
particular,69
partly,33
parts,108
party,51
passage,44
passion,145
patience,178
patient,127
paulina,0
peace,412
pedro,0
people,224
perceive,102
percy,0
perfect,114
perhaps,32
peril,65
permission,4
person,191
personal,16
phebe,0
philip,0
picture,51
piece,141
pistol,5
place,516
plague,103
plain,228
plead,52
please,381
pleasure,216
pluck,136
poins,0
point,244
poison,119
policy,45
polixenes,0
pompey,0
porter,638
possible,97
posthumus,0
pound,112
power,375
practice,56
praise,232
prayers,85
precious,77
prepare,63
presence,104
present,410
pretty,109
pride,107
priest,78
prince,285
prison,256
private,74
prize,53
proceed,105
proclaim,65
profit,63
prohibited,0
project,15
prologue,22
promise,154
proof,116
proper,95
protector,5
protest,66
proud,229
prove,351
provided,33
public,67
purpose,256
purse,106
quality,58
quarrel,122
queen,199
question,169
quick,210
quiet,106
quite,103
quoth,62
raise,111
ransom,64
rascal,88
rather,291
readable,2
ready,128
realm,60
reason,489
receive,124
regard,274
reign,273
reignier,0
remain,112
remedy,59
remember,159
render,55
repair,42
repent,68
report,178
reputation,45
request,85
respect,177
return,252
revenge,163
reverence,44
revolt,61
right,548
rivers,12
rogue,104
rotten,38
rough,431
round,113
royal,246
sacred,46
safety,74
saint,43
salerio,0
satisfied,54
saying,57
scarce,83
scene,42
scorn,139
search,53
season,67
second,113
secret,107
seeing,45
senate,0
senator,34
sense,182
sentence,45
servant,251
serve,392
service,262
seven,82
several,105
shadow,104
shake,111
shall,3179
shame,352
shape,129
sharp,85
shepherd,81
shine,99
shore,77
short,164
shortly,44
should,1563
shows,95
sickness,53
sight,238
silence,63
silver,68
simple,84
since,299
single,63
sirrah,77
sister,342
skill,61
slain,125
slander,86
slave,170
sleep,341
slender,12
small,107
smell,66
smile,116
soldier,317
solemn,66
somerset,0
something,152
sometime,107
sooner,60
soothsayer,3
sorrow,236
sorry,88
sought,38
souls,110
sound,282
sovereign,178
spare,55
speak,1201
speaks,126
special,64
speech,162
speed,158
spend,77
spirit,387
spite,79
spoke,207
sport,164
spring,84
staff,143
stain,110
stand,798
stars,68
state,351
steal,118
steel,77
steward,25
still,523
stomach,61
stone,145
stood,96
store,72
storm,73
story,92
straight,153
strange,340
street,129
strength,138
strike,147
stroke,64
strong,272
struck,81
study,63
stuff,67
subject,169
substance,43
success,81
sudden,126
suddenly,48
suffer,157
suffolk,0
summer,99
supper,63
surely,37
surrey,0
suspect,49
swear,328
sweat,50
sweet,775
swift,94
sword,421
swore,59
sworn,196
syracuse,0
table,204
tailor,42
taken,100
talbot,0
tarry,40
taste,93
taught,53
teach,120
tears,274
tedious,50
teeth,55
tells,43
tempest,48
tender,174
terms,74
thank,454
their,1964
themselves,158
there,2070
therefore,363
therein,47
these,1101
thief,68
thing,721
think,1273
third,76
thomas,0
those,467
though,1069
thought,669
thrive,61
throat,78
throne,75
through,248
throw,183
thrust,58
thunder,74
times,302
title,120
together,265
tongue,492
tonight,47
touch,204
toward,156
tower,18
train,286
traitor,197
tread,55
treason,108
treasure,58
trial,65
tribunes,27
trick,94
triumph,75
trouble,126
truly,124
trumpet,178
trust,224
truth,344
turns,65
twice,62
tyrant,67
ulysses,0
uncle,234
under,515
understand,122
undertake,51
undone,52
unhappy,34
unknown,41
unless,66
until,43
unworthy,31
utter,117
valentine,0
valiant,154
valour,99
vantage,172
vengeance,204
venice,0
version,8
victory,46
villain,327
viola,16
violent,47
virtue,228
visit,92
voice,212
walls,84
warlike,57
warrant,189
waste,73
watch,175
water,195
wealth,113
weapons,40
weary,82
weeds,42
weeping,58
weight,63
welcome,287
wench,84
whence,59
where,1005
wherein,67
whether,56
which,1418
while,214
whither,39
whole,160
whore,101
whose,383
widow,89
willing,89
window,67
wings,56
winter,78
wisdom,100
witch,79
withal,147
within,340
without,287
witness,121
wives,61
wolsey,0
woman,493
wonder,160
works,24
world,698
worse,168
worship,132
worth,505
would,2163
wound,201
wounded,40
wrath,71
wretch,147
write,138
written,34
wrong,375
wrought,42
yield,183
yonder,59
young,462
yours,589
yourself,268
youth,310
